137
0	3	true
2	0	true
3	4	true
3	2	true
3	4	true
2	0	true
3	4	true
2	0	true
0	3	true
2	0	true
3	4	true
3	2	true
3	4	true
2	0	true
3	4	true
2	0	true
0	3	true
2	2	true
3	5	true
3	4	true
3	5	true
2	2	true
3	5	true
2	2	true
0	3	true
2	2	true
3	5	true
3	4	true
3	5	true
2	2	true
3	5	true
2	2	true
0	3	true
2	4	true
3	5	true
3	4	true
3	5	true
2	4	true
3	5	true
2	4	true
0	3	true
2	4	true
3	5	true
3	4	true
3	5	true
2	4	true
0	3	true
3	0	true
3	4	true
3	2	true
3	4	true
3	0	true
3	4	true
3	0	true
0	3	true
3	0	true
3	4	true
3	2	true
3	4	true
3	2	true
3	0	true
3	4	true
2	4	true
0	3	true
2	2	true
3	4	true
3	2	true
3	4	true
3	0	true
2	4	true
3	0	true
1	2	true
2	0	true
1	4	true
1	2	true
1	4	true
2	2	true
2	3	true
2	2	true
2	3	true
2	2	true
2	3	true
2	2	true
1	4	true
2	2	true
2	3	true
2	2	true
2	3	true
2	2	true
2	3	true
2	2	true
2	4	true
3	2	true
3	7	true
3	6	true
3	7	true
3	2	true
3	0	true
3	2	true
2	4	true
3	2	true
3	0	true
3	2	true
2	0	true
2	4	true
2	2	true
2	0	true
0	0	true
1	3	true
3	0	true
2	4	true
3	0	true
1	3	true
3	0	true
1	3	true
0	0	true
1	3	true
3	0	true
2	4	true
3	0	true
1	3	true
3	0	true
1	3	true
0	0	true
1	4	true
2	0	true
2	2	true
2	0	true
1	4	true
1	2	true
1	0	true
3	0	true
2	4	true
2	2	true
3	7	true
3	6	true
3	4	true
3	2	true
3	0	true
2	4	true
2	2	true
2	0	true
3	7	true
3	2	true
3	7	true
2	4	true
3	2	true
2	0	true
2	2	true
2	4	true
3	2	true
3	0	true
2	4	true
2	2	true
2	0	true
